,Participant No.,CustomID,IP Address,Date Started,Date Completed,User Agent,Total Time Spent,Avg Time Taken,Avg Page Views, Task panel instructions,Page Views,Time Spent,Task 1: Choosing a lodgment method,Task 1: Choosing a lodgment method - Page Views,Task 1: Choosing a lodgment method - Time Spent,Task 2: Finding info on next steps,Task 2: Finding info on next steps - Page Views,Task 2: Finding info on next steps - Time Spent,"* ""I found it easy to find the right lodgment method.""","* ""I feel confident acting on the information on the website.""","* ""I found the content easy to read and understand.""",* Which lodgment method did you choose?,"Other, please specify",* What were your reasons for choosing that lodgment method?,Is there anything you would improve on this design?,"* ""Based on the information I found I would know what to do to submit my tax return.""","Based on this task, what would be the best method to lodge online?",Other,How satisfied did you feel using this website?,I trust the information on the website.,I would use this section of the ato.gov.au website in the future.,I found it easy to find the information I was looking for.,The content and language was easy to understand.,Give us your feedback on how we can improve the tax time lodgment pages.,* Are you an ATO employee?,* Which of the following best describes you?,"Other, please specify (2)",Which age group do you belong to?
15,Participant 43,,165.228.62.84,10/05/17 15:55,10/05/17 16:07,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",692,148.7,1,success,1,26,fail,1,72,fail,1,348,Neither agree nor disagree,Agree,Neither agree nor disagree,myTax,nan,It is easier and simpler. Can lodge on any device. Saves money. Puts me in control.,Maybe too much on the one page.,Agree,myTax,nan,Satisfied,Agree,Agree,Agree,Agree,nan,No,Small business,nan,26-45
16,Participant 44,,180.149.192.139,10/05/17 15:55,10/05/17 16:07,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,672,160.3,2.3,success,1,43,success,3,60,success,3,378,Agree,Agree,Agree,myTax,nan,I believe the method would be able to handle the scenario.,No,Agree,myTax,nan,Satisfied,Agree,Agree,Agree,Agree,nan,Yes,Individual,nan,46-65
17,Participant 45,,155.143.240.194,10/05/17 15:56,10/05/17 16:03,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",451,59.7,1,success,1,26,fail,1,65,fail,1,88,Agree,Agree,Agree,myTax,nan,Simplest and easiest,Change 'Choose a lodgment type' to 'Find out more about my lodgment options',Agree,myTax,nan,Satisfied,Agree,Agree,Agree,Agree,Looks good,No,Sole trader/self-employed,nan,Older than 65
18,Participant 47,,58.106.71.68,10/05/17 15:57,10/05/17 16:11,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,831,129.3,5,success,1,18,success,11,308,success,3,62,Strongly disagree,Strongly disagree,Agree,myTax,nan,"Because I found the drop down stating: ""myTax is now available for those with: business and professionals items rental property schedules "". With investment properties coming under the rental property banner.",I don't think so.,Strongly disagree,myTax,nan,Very satisfied,Strongly agree,Strongly agree,Agree,Strongly agree,"Seems okay so far. As long as the ATO home page has a big 'lodge my tax return' button (which I've just checked, and it has), then should be okay for all my tradesmen and apprentices!",No,Small business,nan,46-65
19,Participant 50,,101.187.205.156,10/05/17 15:57,10/05/17 16:05,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",435,54.3,3,success,1,23,success,5,94,success,3,46,Strongly disagree,Disagree,Neither agree nor disagree,Tax agent,nan,"There was no guidance as to why i should use any method based on your brief of owning a few investment properties. I think the flaw is in your questions, not necessarily the website",provide more detail in your questions as what your are trying to achieve,Agree,myTax,nan,Neither satisfied nor dissatisfied,Disagree,Disagree,Disagree,Agree,nan,No,Tax agent,nan,46-65
20,Participant 53,,124.179.175.120,10/05/17 16:00,10/05/17 16:04,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",224,27.7,1.3,success,1,15,success,2,39,fail,1,29,Strongly agree,Agree,Agree,myTax,nan,Easy to use,nan,Strongly agree,myTax,nan,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,nan,No,Individual,nan,26-45
21,Participant 56,,180.149.192.136,10/05/17 16:01,10/05/17 16:07,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,320,39.7,1.3,success,1,18,success,2,56,fail,1,45,Agree,Strongly agree,Agree,myTax,nan,"Under myTax it said that those who need to complete rental property schedules should use myTax. personally I would have made this sentence a bit simpler and said ""If you own rental properties""",nan,Strongly agree,myTax,nan,Satisfied,Agree,Agree,Strongly agree,Strongly agree,nan,Yes,Individual,nan,46-65
22,Participant 58,,180.149.192.132,10/05/17 16:02,10/05/17 16:10,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,468,29,1,success,1,30,fail,1,47,fail,1,10,Neither agree nor disagree,Disagree,Agree,myTax,nan,It was the one in the middle of the page but I'm not sure if it is the one I should have chosen,"Maybe some very simple wording about who can use the different options. I feel like it's unclear when I could or should use the different lodgement options. Ie. 'myTax is the quick, easy, safe and secure way to lodge online and is suitable for use by xxx'. Also, what is the difference between 'safe' and 'secure'? Isn't this just saying the same thing twice?",Agree,myTax,nan,Satisfied,Agree,Agree,Neither agree nor disagree,Agree,nan,Yes,Individual,nan,26-45
23,Participant 59,,110.143.3.101,10/05/17 16:02,10/05/17 16:18,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",909,35.3,2,success,2,44,success,3,39,fail,1,23,Agree,Agree,Agree,myTax,nan,If I was using an agent I wouldn't need to be doing this,"My Tax and My Gov are a bit confusing - On the green button I would be more sure if it said "" Start your tax return with My tax through My Gov""",Agree,myTax,nan,Neither satisfied nor dissatisfied,Agree,Agree,Agree,Neither agree nor disagree,"Keep in mind that your page visitors will only come to this once a year they will not remember its called mytax and they will most likely google to get there Also there are unscrupulous operators that try to trap them into doing the return via them and paying a fee I think it would be good if you could get straight to a page that said lodge your 2017 tax return. Also do most people have a my gov account? - I would suggest a choice of butttons more like _ ""I have my MyGov details - Lodge now"" / ""I need to register to get a My give account"" / or ""remind me about my MyGov Account""",No,,Self employed business advisor,46-65
24,Participant 60,,180.149.192.135,10/05/17 16:03,10/05/17 16:12,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,522,51.3,1.7,success,1,19,success,3,111,abandon,1,24,Agree,Agree,Agree,myTax,nan,The answers to Who can use My tax states that it is now available for rental property schedules and capital gains tax,"I would include in the answer that my tax is available for those with rental properties or who have sold rental properties, or those with businesses or those who have received distributions from partnerships and trust, similar to the income tax returns instructions to make it easier for the layman to understand.",Agree,myTax,nan,Satisfied,Agree,Agree,Agree,Agree,nan,Yes,Individual,nan,46-65
25,Participant 63,,49.199.84.175,10/05/17 16:06,10/05/17 16:18,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:54.0) Gecko/20100101 Firefox/54.0,750,40.7,2.7,success,1,26,success,4,76,success,3,20,Disagree,Neither agree nor disagree,Agree,Tax agent,nan,I have complex tax affairs. I am probably very rich and can afford an agent.,"Have a bit that says ""This method is recommened for:"" for each section, with ideas such as: Computer savy, simple tax affairs, complex tax affairs, multiple investments or income streams, have had tax problems in the past",Strongly agree,myTax,nan,Dissatisfied,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,"Give the user more help on choosing the right method. And don't give us any bollocks about ""we cannot give tax advice you, need to speak to a professional"". That annoys everyone.",No,Small business,nan,26-45
27,Participant 65,,180.149.192.134,10/05/17 16:06,10/05/17 16:15,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,510,75.7,3,success,1,15,success,4,149,success,4,63,Disagree,Neither agree nor disagree,Agree,myTax,nan,"Under the ""who can use myTax"" section it talked about rental scheduled and I assumed this means it is suitable for the task. However, I was still unsure if it will fully accommodate the request.","no, it seemed pretty straight foward",Agree,myTax,nan,Satisfied,Agree,Agree,Neither agree nor disagree,Agree,An overview of the things that can / cannot be done in myTax may have been helpful. under the FAQ type area it gave some basic information but i found I still wasn't 100% and would hate to go to the effort of going through myTax only to find out I cant do part of my return using it.,Yes,Individual,nan,26-45
28,Participant 69,,180.149.192.135,10/05/17 16:08,10/05/17 16:12,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,263,25,1.7,success,1,6,fail,1,32,success,3,37,Disagree,Agree,Agree,myTax,nan,It seemed like the correct answer,nan,Agree,myTax,nan,Satisfied,Agree,Disagree,Neither agree nor disagree,Agree,nan,No,Sole trader/self-employed,nan,26-45
29,Participant 70,,180.149.192.135,10/05/17 16:08,10/05/17 16:14,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,389,21,1.3,success,1,17,success,2,37,fail,1,9,Strongly disagree,Agree,Agree,Tax agent,nan,"Given the complexity of owning investments, I would prefer to consult a tax expert than navigate mytax and risk making an error",nan,Agree,myTax,nan,Satisfied,Agree,Neither agree nor disagree,Agree,Strongly disagree,Not sure how easy these pages are to search and find or how well promoted they will be but I think these aspects are just as important as the ability to navigate/understand once there,Yes,Individual,nan,26-45
30,Participant 71,,203.39.120.162,10/05/17 16:08,10/05/17 16:12,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",245,26.7,1.7,success,1,5,fail,1,18,success,3,57,Strongly agree,Strongly agree,Strongly agree,myTax,nan,Didn't realise I had other options. There was only one button.,"If there were other options, it would have been useful to know.",Strongly agree,myTax,nan,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Having the links up the top make it easy to get to myTax but if I wasn't eligible or hadn't used it before, I'd be frustrated because I wouldn't have seen the info about it",No,Not-for-profit,nan,26-45
31,Participant 72,,120.151.198.75,10/05/17 16:10,10/05/17 16:16,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko,400,68.7,1.7,success,1,80,fail,3,107,fail,1,19,Neither agree nor disagree,Neither agree nor disagree,Agree,myTax,nan,Basic return with investment properties,nan,Strongly agree,myTax,nan,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,nan,No,Individual,nan,46-65
32,Participant 73,,121.45.64.90,10/05/17 16:10,10/05/17 16:17,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",368,19.3,1.3,success,1,19,success,2,24,fail,1,15,Agree,Agree,Neither agree nor disagree,myTax,nan,"I looked at what I normally do, not what is probably the best option for a property investor.",I haven't been given the chance to play around with the site before answering these questions.,Agree,myTax,nan,Neither satisfied nor dissatisfied,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,This trial won't let me work through a lodgement so I can't give you the feedback you are seeking.,No,Sole trader/self-employed,nan,46-65
33,Participant 74,,139.130.41.138,10/05/17 16:13,10/05/17 16:15,Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; rv:11.0) like Gecko,130,13.7,1.3,success,1,5,success,2,31,fail,1,5,Disagree,Neither agree nor disagree,Neither agree nor disagree,myTax,nan,used it before,nan,Agree,myTax,nan,Satisfied,Neither agree nor disagree,Agree,Agree,,nan,No,Individual,nan,
34,Participant 79,,180.149.192.135,10/05/17 16:16,10/05/17 16:25,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,527,92.3,1,success,1,147,fail,1,88,fail,1,42,Agree,Agree,Agree,myTax,nan,I am working in the digital space and like to use apps and programs to finalise tasks.,No,Agree,myTax,nan,Satisfied,Agree,Agree,Agree,Agree,The longest part of the lodgment process is when completing the health insurance items. This needs to be refined more so the steps are easier.,Yes,Individual,nan,46-65
35,Participant 80,,180.149.192.135,10/05/17 16:16,10/05/17 16:38,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,1278,147.7,2,success,1,33,success,2,346,success,3,64,Agree,Agree,Disagree,myTax,nan,Because I prepare my own tax return and prefer to do it online,There's a heading for 'Lodged with myTax before' heading but not one for those who haven't lodged with myTax before - shouldn't information cover both scenarios. The myTax content could be worded better. If you've lodged before you already know you can use any device and there's nothing to download. Those points would be more appropriate for those who haven't used it before. Why is there a 'Start you tax return with myTax' box followed by 3 other lodgement boxes in a different style?,Agree,,myTax of course - the others don't align with the scenario provided - stupid question,Satisfied,Agree,Agree,Agree,Neither agree nor disagree,"The references to pre-fill information being available could be worded better. There's a lot of information on the page, particularly once videos are included. Would prefer a small button option for the videos as they take up a lot of space on the screen",Yes,Individual,nan,46-65
36,Participant 81,,124.150.13.213,10/05/17 16:16,10/05/17 16:21,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",280,45,1.7,success,1,42,success,2,75,success,2,18,Agree,Agree,Agree,Tax agent,nan,i feel assured that a tax agent will give me the best end result,nan,Neither agree nor disagree,Tax agent,nan,Satisfied,Agree,Agree,Disagree,Disagree,nan,No,Individual,nan,26-45
37,Participant 82,,58.107.115.36,10/05/17 16:16,10/05/17 16:21,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,273,38,1.7,success,1,58,success,2,40,success,2,16,Strongly agree,Strongly agree,Strongly agree,Tax agent,nan,rental properties,no,Strongly agree,myTax,nan,Satisfied,Agree,Strongly disagree,Agree,Strongly agree,I am a tax agent so I would not use myGov,No,Tax agent,nan,Older than 65
38,Participant 87,,180.149.192.133,10/05/17 16:20,10/05/17 16:27,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,427,64.7,2,success,1,25,success,2,81,success,3,88,Agree,Agree,Agree,Tax agent,nan,Tax return would be more complicated having investments and so I would need an agent to help me understand what I can claim,no,Agree,myTax,nan,Satisfied,Agree,Agree,Agree,Agree,nan,Yes,Individual,nan,46-65
39,Participant 88,,180.149.192.134,10/05/17 16:20,10/05/17 16:30,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,565,76,2.3,success,1,34,success,3,143,success,3,51,Neither agree nor disagree,Agree,Agree,myTax,nan,Checked 'Who can use myTax - not certain it's correct though.,"It's probably ok for people who have done this before, but for new people perhaps more explanation is needed.",Agree,myTax,nan,Neither satisfied nor dissatisfied,Agree,Agree,Agree,Agree,nan,Yes,,"ATO employee - I thought I answered that in the last question, but I can't go back and check...",46-65
40,Participant 89,,180.149.192.133,10/05/17 16:21,10/05/17 16:30,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,540,43.7,1,success,1,15,fail,1,88,fail,1,28,Strongly disagree,Disagree,Agree,myTax,nan,"""Start your tax return with MyTax"" - This was the only item that suggested I could do something. The option of ""Do I need to lodge""? was not helpful, I know I have to lodge, but how do I lodge? There was only one visible option.","Perhaps a ""Which lodgement method best suits your needs"" button. So you could click on it, tick a few boxes to say I need to do wage, rental, shares and deductions, and the calculator tells you: ""MyTax is for you"" or ""Best handled by an agent""",Strongly agree,myTax,nan,Neither satisfied nor dissatisfied,Agree,Neither agree nor disagree,Disagree,Agree,"The web page still has a ""seek and you will find"" feel to it. If there were some clear steps at the top of the page to say ""To lodge via MyTax, click here"", ""If you don't know how to lodge, click here""",Yes,Individual,nan,46-65
41,Participant 93,,180.149.192.135,10/05/17 16:24,10/05/17 16:29,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,263,28.3,1,success,1,12,fail,1,28,fail,1,45,Strongly agree,Strongly agree,Strongly agree,myTax,nan,"Simplest, fastest, cheapest",nan,Strongly agree,myTax,nan,Very satisfied,Strongly agree,Strongly agree,Strongly agree,Strongly agree,nan,Yes,Individual,nan,26-45
42,Participant 94,,180.149.192.134,10/05/17 16:24,10/05/17 16:28,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,213,22.3,1.7,success,1,8,success,3,42,fail,1,17,Neither agree nor disagree,Agree,Agree,myTax,nan,It said it was available to those with rental property schedules,It would be good to have a hover menu showing what different types of taxpayers mytax was available for,Agree,myTax,nan,Satisfied,Agree,Agree,Agree,Agree,nan,Yes,Individual,nan,26-45
43,Participant 96,,180.149.192.134,10/05/17 16:25,10/05/17 16:30,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,335,42.7,1.3,success,1,29,success,2,79,fail,1,20,Strongly disagree,Neither agree nor disagree,Agree,myTax,nan,i do my own tax,there is no 'right' method for lodging.,Strongly disagree,myTax,nan,Neither satisfied nor dissatisfied,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,how to get it right not how to lodge,No,Individual,nan,46-65
44,Participant 98,,180.149.192.139,10/05/17 16:25,10/05/17 16:30,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,304,42.3,2.3,success,1,21,success,3,81,success,3,25,Disagree,Neither agree nor disagree,Neither agree nor disagree,myTax,nan,first answer that looked right,nan,Agree,myTax,nan,Dissatisfied,Neither agree nor disagree,Neither agree nor disagree,,Neither agree nor disagree,nan,Yes,Individual,nan,26-45
45,Participant 105,,180.149.192.133,10/05/17 16:28,10/05/17 16:33,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,317,35.3,1.7,success,1,63,success,2,24,success,2,19,Agree,Agree,Agree,Tax agent,nan,because the scenario indicated I owned multiple houses and I know I can claim deductions and depreciate some items in that scenario. I thought a tax agent would know exactly what was required and ensure that the return was correct so that I got the right refund at the outset.,nan,Strongly agree,myTax,nan,Very satisfied,Agree,Agree,Agree,,nan,Yes,Individual,nan,46-65
46,Participant 106,,180.149.192.139,10/05/17 16:30,10/05/17 16:33,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:50.0) Gecko/20100101 Firefox/50.0,204,19.7,1.7,success,1,15,success,3,27,fail,1,17,Strongly agree,Strongly agree,Strongly agree,myTax,nan,"looked easy - clean, simple",no,Agree,myTax,nan,Satisfied,Strongly agree,Agree,Agree,Agree,nan,No,Individual,nan,26-45
47,Participant 110,,58.162.179.159,10/05/17 16:32,10/05/17 16:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.96 Safari/537.36",315,38,1.3,success,1,14,success,2,64,fail,1,36,Disagree,Neither agree nor disagree,Disagree,myTax,nan,Because on the facts given neither paper or an agent were mentioned and so there was only 1 method left,The question did not seem to be answerable on the information given,Disagree,myTax,nan,Satisfied,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,The issues raised did not seem to link to the pages available,No,"Tax agent, Small business",nan,46-65
48,Participant 113,,180.149.192.133,10/05/17 16:35,10/05/17 16:40,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,319,41.3,1.3,success,1,31,success,2,55,fail,1,38,Agree,Agree,Agree,Tax agent,nan,Potential complexity of multiple houses and investment properties would benefit from expert knowledge.,No,Strongly agree,myTax,nan,Very satisfied,Strongly agree,Strongly agree,Agree,Strongly agree,nan,Yes,Individual,nan,26-45
49,Participant 117,,124.148.153.34,10/05/17 16:37,10/05/17 16:43,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,395,31,1.3,success,1,22,fail,1,42,success,2,29,Agree,Agree,Agree,myTax,nan,It was a personal tax return,nan,Agree,myTax,nan,Satisfied,Neither agree nor disagree,Agree,Agree,Agree,nan,No,Individual,nan,46-65
